placement	415_mean	415_ptp	415_std	415_median	415_var	445_mean	445_ptp	445_std	445_median	445_var	480_mean	480_ptp	480_std	480_median	480_var	515_mean	515_ptp	515_std	515_median	515_var	555_mean	555_ptp	555_std	555_median	555_var	590_mean	590_ptp	590_std	590_median	590_var	630_mean	630_ptp	630_std	630_median	630_var	680_mean	680_ptp	680_std	680_median	680_var	910_mean	910_ptp	910_std	910_median	910_var
uncoupled moving coupled	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
moving	285.000	746	377.004	19.5	142132	944.250	2519	1267.14	48.5	1.60564e+06	365.625	909	461.165	42.0	212673	1106.625	2930	1481.72	66.0	2.1955e+06	1847.625	4308	2131.18	778.0	4.54192e+06	1945.750	4572	2258.28	846.5	5.09984e+06	1723.875	3951	1944.46	816.0	3.78091e+06	949.375	2194	1081.46	452.5	1.16956e+06	306.500	630	310.822	169.5	96610.3
coupled	2580.000	67	21.051	2585.5	443.143	10587.000	292	89.012	10611.0	7923.14	4919.250	140	46.5242	4932.0	2164.5	14629.625	399	129.248	14659.0	16705.1	21759.750	395	121.804	21789.0	14836.2	24933.375	411	141.969	24991.0	20155.1	22831.125	335	120.779	22895.5	14587.6	11958.875	168	59.5853	11986.5	3550.41	3027.500	36	12.5471	3032.5	157.429
coupled	2568.875	26	8.55966	2569.5	73.2679	10535.500	109	36.3357	10540.5	1320.29	4902.250	48	15.8723	4904.5	251.929	14570.250	149	49.3667	14572.5	2437.07	21644.750	130	57.0933	21617.5	3259.64	24884.625	153	62.9919	24859.5	3967.98	22783.375	137	57.1038	22775.0	3260.84	11907.875	81	32.4497	11900.0	1052.98	3021.500	15	6.11789	3019.5	37.4286
coupled	2575.875	29	10.0062	2573.5	100.125	10578.375	135	46.4018	10568.0	2153.12	4914.875	52	17.5046	4910.5	306.411	14613.875	169	55.9705	14603.5	3132.7	21768.750	388	124.998	21770.0	15624.5	24943.250	330	114.167	24910.5	13034.2	22748.750	215	84.3898	22725.5	7121.64	11872.375	104	39.749	11863.0	1579.98	3030.875	36	11.7283	3027.5	137.554
coupled	2593.125	51	17.9319	2601.5	321.554	10662.375	221	77.6364	10696.5	6027.41	4950.500	89	30.2135	4964.5	912.857	14723.125	272	93.5696	14763.0	8755.27	21899.125	541	198.933	21988.0	39574.4	25019.500	588	217.221	25121.0	47184.9	22768.750	465	181.205	22812.0	32835.1	11882.375	232	89.8013	11903.0	8064.27	3041.750	52	19.241	3051.5	370.214
coupled	2603.375	174	66.0085	2622.0	4357.12	10687.625	740	280.377	10767.0	78611.4	4956.000	324	119.708	4986.0	14330	14765.250	963	365.402	14867.5	133519	21985.750	1754	611.479	22250.0	373907	25121.375	1930	673.461	25402.0	453549	22864.500	1668	580.879	23101.0	337420	11914.250	848	292.796	12032.5	85729.4	3077.750	193	71.4758	3113.0	5108.79
coupled	2648.250	120	38.5737	2659.0	1487.93	10903.625	540	175.66	10960.0	30856.6	5038.750	225	72.8045	5061.5	5300.5	15016.750	671	215.256	15078.5	46335.4	22415.000	452	142.087	22437.0	20188.9	25516.750	500	152.527	25531.0	23264.5	23164.500	444	132.995	23190.0	17687.7	12050.375	222	66.1166	12060.5	4371.41	3113.125	40	11.7527	3113.0	138.125
coupled	2676.125	26	7.58641	2675.5	57.5536	11025.375	120	34.7971	11024.5	1210.84	5086.625	39	12.1765	5087.0	148.268	15147.750	121	36.4525	15146.0	1328.79	22524.500	163	58.8023	22517.0	3457.71	25673.125	140	53.6135	25672.0	2874.41	23317.625	132	44.1327	23300.5	1947.7	12113.375	62	21.0912	12106.0	444.839	3127.500	13	4.92805	3127.0	24.2857
moving	2627.875	616	212.406	2701.5	45116.1	10846.000	2520	867.086	11145.5	751839	4995.125	1140	393.758	5130.5	155045	14895.750	3394	1169.24	15304.5	1.36711e+06	21745.000	8287	2876.71	22702.0	8.27547e+06	24664.375	9280	3235.59	25805.5	1.0469e+07	22291.625	8407	2939.97	23385.0	8.64345e+06	11582.375	4312	1508.17	12141.0	2.27459e+06	2937.750	1616	565.516	3140.5	319808
uncoupled	1702.250	165	62.7096	1699.5	3932.5	7097.625	685	259.853	7081.5	67523.4	3273.625	310	117.664	3269.0	13844.8	9796.625	974	370.23	9777.5	137070	14671.125	1474	515.51	14615.0	265750	16735.750	1566	545.258	16710.0	297307	15103.625	1343	466.775	15112.0	217879	7898.625	697	243.215	7902.0	59153.4	1515.750	226	79.1865	1510.5	6270.5
uncoupled	1693.625	177	72.3068	1667.5	5228.27	7061.500	736	299.439	6958.0	89663.7	3255.875	329	134.132	3208.5	17991.3	9726.000	1004	408.984	9580.0	167268	14727.625	1465	562.411	14634.0	316306	16844.250	1635	627.8	16736.5	394133	15234.250	1460	563.675	15130.0	317730	7968.000	766	296.444	7911.0	87878.9	1509.250	188	73.3441	1492.0	5379.36
uncoupled	1670.750	122	46.9004	1664.0	2199.64	6973.500	504	193.955	6947.5	37618.6	3214.000	226	86.7113	3202.0	7518.86	9594.875	697	267.209	9557.0	71400.4	14406.750	895	349.043	14332.0	121831	16456.125	1002	393.185	16370.5	154595	14861.375	899	354.73	14778.0	125834	7777.375	467	184.776	7734.5	34142.3	1443.375	130	50.8413	1429.0	2584.84
